,title,writer,date,rate,content
621,Simply mesmerising,hutch_delaney,19 January 2020,10,"This film had me hooked from the beginning. A fast-paced, and well thought out storyline. No details were left unanswered in my eyes. Brilliant and humble acting from all the cast with believable characteristics and flaws. The subtitles throughout are worth it for what is unveiled during the film."
622,Goes bigger by going smaller,cliftonofun,4 November 2019,10,"Bong Joo Ho has been making ingenious social commentary for some time. That is not new. But this film reaches new heights, not through more extravagant plot but through a more naturalistic approach. As a result, the comedy, the stakes, and the insights here are at a different level. You care about the protagonists, and you feel the weight of their struggle. All the same ingredients are there (the social satire, the violence, the bizarre twists, the brilliant direction), but there's a new weight to this film. I don't think ""masterpiece"" is too strong, and I'm looking forward to watching it again some time soon."
623,The very best movie of the decade.,karajan1714-326-881626,10 February 2020,10,"This film is such a perfect masterpiece in every facet that one cannot be but astounded and has become interested in everything Korean. I am in love with Korean language, with its sweet words-enunciation, the cadence, the soft and musical ending of every sentence. However,the less one read about the movie beforevwatchng it, the better. Go and see it, you won't regret"
624,Overwhelming as hell,cinish,27 January 2020,10,"Movie starts off with a very intimate portrayal of the poverty and the vigor of the first family. Mastery is very evident.The rich family is portrayed next with just as much intimacy and depth.The story starts unfolding, the deviousness is a bit disturbing when it begins. Intimate portrayal is about showing everything, not just the stuff that gets the audience to like the protagonists. Bong Joon Ho is ruthless in his script and making.The excesses of the rich is contrasted sharply with the abysses of the poor.There is so much to this movie that the various departments of the movie like cinematography, music etc don't make it to the plane of consideration on the review table. Shocking movie. Must watch. Amazing content, amazing execution!"
625,Everyone needs to see this movie!,DylanCanonge,17 December 2019,10,"This film is a masterpiece, a cinematic slap. Parasite is cinematic perfection. It's not just my favourite film of the year, it's in my top 5 of my best movies of the last decade. Just when you think you know what type of movie it is, it suddenly becomes a completely different movie when you least expect it. Crazy, funny, incredibly smart. I loved it. I've tried to keep my review to a minimum because the less said about this movie the better, everyone needs to see this movie !"
626,Pinter didn't come to Korea,thomas-leitha,19 February 2020,6,"What ever brought this movie its Palm and its Oscar, I couldn't find it on the screen, and no I am not offended, neither by its story nor its violence.
Try to catch Harold Pinters/Joseph Losey's The Servant (1963) starring Dirk Bogarde and you'll Se a similar theme screened in perfection, with better actors and a much better camera work.
Sorry,"
627,Best movie of 2019,magicera9,4 February 2020,10,Easily the best film of 2019. Potential winner of best movie at the Oscars!
628,Wrong Best Picture Choice for 2019,jgcorrea,13 March 2023,7,"This movie did resonate with its audience, it did get critical acclaim, it did win a bunch of awards, but then, guess what, I reckon I'm the edgy, white person who starts saying it's idiotic and/or overrated. I think that the primary Oscar should have gone to The Irishman, or Once upon a time... In Hollywood, or
1917 (Nineteen seventeen), or Mr. Jones, or Dark waters, or
The lighthouse, or Sorry we missed you, or Richard Jewell
Glass, or even Downton Abbey - the motion picture. The ACademy likes to give out Oscars to movies that push the ""correct"" political opinion. This has nothing to do with the so-called 7th art anymore."
629,another way too overated film,grumpy-3,11 February 2020,1,"First off the film is half and hour too long, most of the dialogue is simplistic and repetitive. how it won best screenplay is beyond me. the film has no heart or soul, we do not care for the poor family, as they are all self serving, uninteresting and as the title says parasites. they go from bumbling incompetents to master con artists, as other have pointed out the rich family are presented as really stupid, unaware of what is happening around them. the ending was just silly and implausible, mind you most of the film was like that. like shape of water, roma and others the film seems to have hoodwinked critics and audiences alike into believing that this is some form of great social comment and insight. IT IS NOT whilst it is good that a film from Korea has won the plaudits this has, it is also very indicative of the times that everyone has read into the film, when really what they are seeing is just not there"
630,A Film to Die For!,rohanpunera,1 February 2020,10,"This film is extremely engaging and gripping. The way the film switches it's genre was marvelous. Direction, Story and Acting have been mastered. These films require their due recognition. Truly a masterpiece"
631,"It isn't an easy ride, and as with life in the non-metaphorical world, the destination is uncertain. You'll see strange and wonderful things along the way.",MrPupkin,3 February 2020,10,"It is always exciting to see what the Frenchies decided was film of the year as it never fails to be a better pic than whatever the Hollywood menagerie showers with a critical accolades come Springtime. Little did I expect Cannes Film Festival to award the prestigious Palme D'or this year to a director who has been one of my least favorite filmmakers...until now. Bong Joon-ho's English film debut, 2013's SNOWPIERCER, struck me as overrated and dumb while 2017's OKJA was cartoonish and ham-fisted. It didn't help that he'd relegated two of my favorite actors, Tilda Swinton and Jake Gyllenhaal, to cringe-inducing career-low sideshow performers. Besides that, I just couldn't vibe with his grotesque and bumbling concoction of family-friendly cuteness, ultra violence, and quirky humor. It reeked of trying too hard and failed to land with me at every turn. With that said, let me be the first and most surprised person to say with no reservations PARASITE is easily one of the best movies I've seen this year. However, there's the other genetically engineered super pig in the room: PARASITE has an awful lot in common with last year's Palme D'or winner SHOPLIFTERS. Putting aside that the former is a Korean production and the latter was Japanese, both films follow the lives of a poor family as they struggle on the fringes of society, running cons and scams to get by in a callous world. They are held together by their honest love for one another, and their example is set juxtaposed to the neglectfulness of a consumerist society that allows so many to fall through the cracks in the first place. But the main way that Joon-ho one-up's his award-winning predecessor is with an incisive sense of humor suffused in each character, a humor that is immediately, physically translatable despite the language barrier. It works here so well precisely because it's reigned in and understated throughout the film, making the more manic parts hit harder - such as when Park So-Dam apathetically lights a cigarette on a lidded toilet spewing flooded sewage out the sides. The class conscious themes that have pervaded Joon-ho's science fiction offerings up to this point are given a much greater sense of immediacy and relatability as we watch this struggling family elbow their way into the good graces of a rich, privileged, and naive family. Beside the obvious ""haves vs. have-nots"" one would expect from this scenario, there's clearly an exploration of the structures that relegate people into servitude and poverty for generations, not just by the wealthy elite but by the pervasive mechanisms of misfortune that are maintained by the working class as we claw at each other's throats for short-term gain. Believe the hype, PARASITE is well deserving of the praise it has received thus far. It's tense, hilarious, and poignant, and I'm forced to genuinely re-evaluate this director's output knowing that he knocked it out of the park this time."
632,CROSSING THE LINE,js-66130,2 February 2020,9,"Rooting for an impoverished but resourceful underdog struggling to make ends meet, sets up a standard feel good movie scenario. Seemingly innocuous, ""Parasite"" captures the lively trials of the Kim family as they scheme and trick their way into cushy employment, starting an invasion of sorts. The web of lies in an escalating con targeting the insensitive and gullible Park family opens a series of mouth watering doors, but alas, there's always some that should remain shut.Whether it's borders, classes, or smells, everyone has a line, that once crossed, destroys most semblance of rationale. ""Parasite"" brilliantly dissects how these boundaries (however personal and subjective) are developed within our very complicated and unique species.Filmed almost exclusively within the two families' domiciles, one a filthy, cramped basement apartment, the other a glorious, spacious and meticulously spotless mansion on the hill, ""Parasite"" offers an obvious and very deep class chasm as plot kindling.Delicious absurdist touches like peach fuzz allergies, hammer throw expertise, American Indian infatuations, and wifi signal hunting, are peppered throughout offering much welcomed distraction. Spinning an endearing class dichotomy comedy wildly out of control adds white knuckle power to the jarring second act. Sides are drawn early on, making it is easy to cheer for the bottom feeders in this warfare, but not everything on screen is black and white. The consequence of action and reaction during the increasingly muddied grey areas powers this film. What is good? What is evil? How is that line drawn?Sneaky, powerful, perfectly paced, funny, shocking, and quite wonderful. Can a film be both dark and bright? Yes, yes it can.hipCRANK"
633,An Original Work of Art,tyelder,7 February 2020,10,"Yesterday, at around the beginning of the third act, I 'came to' and realized that this film had hooked my complete attention; then, at the roll of the credits, I had so many thoughts that were provoked by nearly every shot of this movie-laughing and awe-struck by what I'd just experienced. It had been a long time since a movie had given this effect, and it's original films like this that come out of nowhere every once-in-awhile. And today, I know for sure I have to write down my thoughts about this new surprise hidden gem, Parasite, because it truly deserves to be called a masterpiece.
This is my first, and most definitely not my last, foreign film to make this list of the greatest. I'm so thrilled that I was motivated to go see this as it has pushed my boundaries of what I thought makes a movie great.
Bong Joon Ho has delivered a flawless comical satire that focuses on real issues of the divisions of social classes that are present in every society-so it is not just relatable to Koreans. The genres that can be attached to the movie are numerous since it has bits of comedy, drama, suspense and even thriller aspects that all perfectly interweave together to hold your focus until the very end. It is both moving and thought-provoking, but is also a movie I'd recommend to anyone at any age or stage in their life. It is an all-around masterful original piece of cinema which makes for a very fun time at the movies.
Adding to the greatness of the film is the performances from the entire cast. A great ensemble of talented actors-including Ho's long time collaborator Kang-ho Song-make watching every character on screen a moment not to miss. When there is so much chemistry within an on-screen family, you know that the acting is superb to a point at which you forget you are watching a fictional story. You just sympathize with each character because you understand how their actions are driven.
Intertextuality is big in this film and makes a second viewing necessary and welcomed. I could watch this movie over and over and find many more hidden aspects that further prove how much thought and time went into crafting it. Bong Joon Ho has my pick for directing and this film for best foreign, possibly best overall.
Inspiring to both film enthusiasts and to the everyday human being-this one is very monumental to foreign cinema since it leaves you having a different perspective on the industry. It warns us not to overlook nor disregard a movie simply because we don't like reading subtitles.
-TE (11.10.19)"
634,A masterpiece,skakistikaprovlimata,3 February 2020,10,We should keep it in a time capsule for the future generations. This describes a whole era.
635,No way I will not watch this.,ozakevin,2 February 2020,10,"Great, Masterpiece.
This movie pictures how human, rich or poor, can do anyhing at any cost to earn what they wanted. But exclusively, this movie shows that even poor people can fool or at this point, ""PARASITE"" onto you, rich or poor.
At first-half of the film, I could laugh. But at second-half ('til end), I get the moral lesson of the film."
636,NOT AN OSCAR MOVIE,affan_sidd,10 January 2021,6,"Comparing the nominees, this movie is surely not an Oscar wining movie. Ahhhh but Hollywood has something else in their mind.
Anyways, a good watch though, unique story about the class difference."
637,Fascinating,Maxence_G,3 February 2020,8,"I really enjoyed this film, because Bong Joon-Ho perfectly masters its original and impactful story of the underprivileged family who uses all the means at their disposal to rise in society although they are aware that there have no place. The best aspect of this film is that it takes no sides in the script. In addition, this film is wonderfully topical although it only briefly touches on subjects such as social networks, it does this very effectively by mixing Thriller and Comedy."
638,"The Good, the Bad and the Ugly",sanosito,18 January 2020,6,"Good: all the actors, most of the acting and directing, hearing the beauty of the spoken Korean language, the sets (in particular, the first floor and yard of the award winning Namgoong Hyeonja designed house), the cinematography and the first half of the film.
Bad: the second half of the film.
Ugly: the overflowing toilet.The first half of the movie was magical. The storyline and setup were unique, credible and crisp. Then, it all fell apart. The punchline was a low blow at best. Too many pratfalls, way too surreal, overly silly and sadly pretentious. As a member of the (target?) audience I felt cheated. It should have been so much more and could have been with very little tweaking and tightening. Bottom Line: Parasite does not deserve the Best Picture Award or the Best Director Award from the Academy, period."
639,Did we all watch the same movie?,rchosen-193-5535,10 February 2020,2,"So the movie won an oscar, was claimed to be a masterpiece and so on. Like most Oscar movies they are either really good or really bad. In this case the movie was highly overrated.Ignoring the fact nothing that is done in the movie is logical or would actually work in real life, the movie doesn't seem to know what kind of movie it is. If movies have a twist or something you didn't expect, usually you are like ""Oh wow, that was amazing!"". But this left me confused. Alot of what happens makes the movie feel pointless. Obviously this is a spoiler free review, so I'll just say some movies have good guys and bad guys, not sure if the movie makers understood what that means in this.The only reason I gave it two stars was it was South Koreas first movie to get an Oscar."
640,Really good movie,testonkar,10 February 2020,8,"Really good movie, well directed and played by actors, story is also Excellent, it's showing the reality of our society, and mental behavior of different people of different stage."
641,Truly thought-provoking and telling cinema,samuelmark-00575,3 February 2020,10,Not many movies combine entertainment and social commentary in equal measure but this one sure does. There are many layers to the plot; there's the events that you're watching but there's also a deeper layer that you're almost compelled to think about as you watch. Everyone will have a slightly different takeaway of what the filmmakers are trying to say but I think everyone will get something valuable from it. I would recommend 100 percent!
642,Fantastically Flawless,kager-69310,4 February 2020,10,"One of the best movies i've ever seen. This movie is full of wonderful surprises.
The scene where the sister sits on the toilet on her phone as it's overflowing was really striking and perfectly juxtaposed her true circumstances and the life she lived in Mr Parks house. Also the scene where the old housekeeper is attempting to push the shelves out of the way was striking and really unexpected whilst being satirical(laughed out loud). I have to say the house having a basement where her husband lived was the most shocked and surprised ive been in a while from a movie.It also works in a metaphorical sense to portray how although on the surface everything seems very normal in the house much like how the family seems to be regular people working for the Park family although they are deceiving them. The whole movie took me by surprise and I didn't see any of it coming; it's really clever. I laughed out loud many times sometimes feeling somewhat guilty for having done so. The director and everyone in the movie and involved deserve major praise for pulling it off. I also have to admit I was somewhat shocked that the son survived as it appeared he had bled out, i guess they were again playing on the idea of things not being as they seemed. It's a great movie in the sense that it explores deep subjects such as inequality, meritocracy, social class heirarchy ignorance but what makes it great is that you don't have to notice or connect to any of those themes what so ever to truly enjoy the movie, this movie is for everyone.
Satirical, metaphorical, genius, paradoxical, impulsive, genuine; watch this movie!!!!"
643,A master piece,jmerienne,4 February 2020,10,"Like watching a Sergio Leone, this director is just a god in film making."
644,One of the years best,johnnygs,11 February 2020,9,Glad that I watched this movie before the Oscar nominees were announced. I feel a number of people Judge it harshly bcos it won a film over other equally excellent moviesIn my opinion it's definitely one of the best movies of 2019-2020.Excellent performances and a harsh view of people at the bottomThe movie switches very quickly from comedy to drama to violence near end.Sad open ended finale.Highly recommend
645,What a movie!!!,sriramthestranger,9 February 2020,8,"The plot starts as a comedy by taking advantage of a gullible rich lady and slowly creeps into the harsh truth of haves and have not. The climax leaves a strange impact on - ""Is it even possible to attain the status of a good earning life style for such a family in honest ways?"". One of the masterpiece from Korean films. A worthy watch that keeps you entertained!!"
646,"Solid overall, but some flaws that make it less than amazing",MandAandM,4 January 2020,7,"The entire basement characters arc felt almost dissatisfying just existing. This includes everything from the tacked on morse code shenanigans, to the being held hostage by a damn camera phone. I really would love to watch a version of this movie's plot where the basement just doesn't exist, and focus on the 2 primary families intriguing plot line."
647,A flawless masterpiece.,joshbarton15,4 February 2020,10,"Bong Joon-ho is a South Korean filmmaker with a very diverse filmography and one who brings a distinct reputation with him when releasing a film, the Bong Hive being the name of his devoted fanbase. His latest film, Parasite, gets a long awaited release in the UK and going into this one blind is one of the best decisions you could ever make.All unemployed, Ki-taek (Song Kang-ho) and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident.Parasite is an absolute triumph from Bong Joon-ho, his film building and building to a crescendo that I didn't see coming at all. It's a brilliantly written film, the humour running through the social commentary of class separation often genius throughout and the dark humour that takes things to the next level utterly breathtaking. There's a real intricacy to the screenplay, co-written by Bong and Han Jin-won, taking time to introduce us to the characters in such a way it makes what unfolds even more hard-hitting.It isn't just the screenplay that deserves special mention for its intricacy, the production design on Parasite providing a stunning backdrop for the narrative to unfold. The time and effort that goes into making something as wonderful as the Park's family home always amazes me and it pays off majorly with its maze-like features almost serving as a character itself. Hong Kyung-pyo's sweeping cinematography through the narrow corridors and lower-class neighbourhood where the Kims actually live is beautifully neat and Yang Jin-mo's score accompanies the film with a wonderfully symphonic prowess.Coming to the performances, Parasite is full of great performances from a cast who have been nothing but infectious this awards season. It's very much an ensemble piece, each of them getting their moment to showcase their talents but the stand-outs for me were Song Kang-ho, Park So-dam and Cho Yeo-jeong.Parasite is Bong Joon-ho's magnum opus and has set an incredibly high bar for the rest of 2020 in film to live up to. I haven't been as fully engrossed in a film as I was watching this masterpiece unfold and I can only imagine it's going to get better with each viewing."
648,Pretty Good Foreign Crime-Drama!,gwnightscream,17 November 2019,6,"This 2019 crime-drama tells of a needy, Asian family that sneaks their way into a wealthy businessman's home by pretending to be hired help and after one of their children tutors his daughter. Things go well at first, but take a drastic turn effecting everyone involved. This is a pretty good film with a bit of humorous, tense and dramatic moments. Give this one a try if you enjoy Foreign or crime
films."
649,Overrated,bdbj77,19 July 2020,2,"Why this won best picture I will never know. The translation was horrible. Plot filled with holes, and so so acting."
650,Mind blowing,nevenahers,6 February 2020,10,"A true masterpiece, 10/10! I don't think I will get to watch a better movie soon!"
651,Just saw it for the second time.,soulexpress,3 February 2020,10,"PARASITE impressed me enough that I wanted to see it again. Having done so, I've increased my initial 9 rating to a full 10.What I thought were plot holes turned out to have simple explanations that I had missed in my initial viewing. And with the element of surprise gone, I could more fully concentrate on the characters and their motives. I especially liked that no one here is 100% blameless or 100% evil. That kind of moral ambiguity is common in everyday life. I only wish it were more common in movies.This time, I also paid much closer attention to the film's abundant symbolism. Admittedly, though, I still couldn't figure out the significance of the Scholar's Rock. But that says more about me than it does about this magnificently brilliant film.If not the for THE IRISHMAN, I would root for PARASITE as this year's Best Picture winner. Still, it's a shoo-in for Best Foreign Language Film."
652,"Fascinating mix of dark comedy, drama and thriller",teoteddy,2 February 2020,10,"It's been a while since I watched a movie that made such impact on me. First of all, I really liked the story of different social classes, despair, greed, deception, pride and prejudices. It is masterfully directed by Bong, carefully navigating through a scenario full of twists and unexpected turns. Dialogues are funny and there is good characterization making characters complexed and intriguing. Parasite can't be categorized in a specific movie genre, rather it's a mix of dark comedy, drama and thriller which is it's strong feature because there are not so many movies who can balance so well between those genres. This is movie that I will gladly watch many times. A real gem of Korean cinematography."
653,Parasite - an unconventional storytelling,sanglap1,8 February 2020,10,"What is Parasite - A Satire? Sarcasm, humor, emotion, human condition, suspense, thriller, social issues, drama, thought provoking dialogues, strong and smooth acting - all ingredients cooked with utmost perfection and balance and served with elegance and style.It is an unconventional storytelling, it may look very simple and everyone might watch and love this film but it has layers of strong and complex structure and an extraordinary artistic flavor. The beauty of cinema lies in its frame, because that's the window through which we watch and experience the story. And that's where comes the cinematography and the production design, it has a rich and subtle tone with detail level precision , every frame, every shot is unforgettable. Another unconventional part of this movie is it's background score, we hear operatic music during a slow motion chaos. May be the background score is inspired from Hitchcock movies.This film and the characters do not leave you after you finish watching, it stays with you, even if you want you can't escape from them, then slowly you learn to live with them in your head, because you are also one of them. It is a hypnotic movie which is disturbing but you will still want to watch it again and again, probably because you want to laugh, cry and get scared - all at the same time.Parasite touches so many corners of human emotions without trying too hard to over amplify any scene or sequence. Kudos to Director Bong Joon-ho for his visionary approach to tell a story which is not unknown to anyone, forcing us to believe that we are very much part of this cruel world."
654,Tension between upperclass elegance and underground threat has never been more in your face.,eelen-seth,30 June 2019,10,"After winning the Palme d'Or in Cannes, the French Oscars let's say, Sydney Film Festival was quick to reel in that line and get Parasite to screen at multiple sold out venues around the city. At the end of the festival, the film got awarded the biggest price (Best Film) and distributor Madman Entertainment decided to ride that wave of interest in the film, releasing this Korean dark comedic masterpiece just a week later in Australian cinemas.Ki-woo (Choi Woo-sick) is a young man with not much to look forward to. He basically lives in a basement apartment with his scruffy dad Ki-taek (Song Kang-ho), snappy mother Chung-sook (Hyae Jin Chang) and his clever sister Ki-jung (Park So-dam). Their tiny confined home feels too small to live in with four adults. They use free wi-fi from their neighbours and try to make some easy money by folding boxes for a pizza delivery company, until Ki-woo's friend offers him to take over a student to tutor.Faking a university diploma and a shameless backstory, Ki-woo introduces himself to a rich family in a dream house with the most well maintained lawn you've ever seen. Here he becomes the tutor to Da-hye (Ziso Jung), daughter of wealthy CEO Mr. Park (Lee Sun-kyun) and his emotionally unstable wife Yeon-kyo (Jo Yeo-jeong). Everything seems to go just as planned, until the almost perfectly executed plan starts to unravel more and more out of control.Scriptwriters Bong Joon-ho (who also directed) and Han Jin-won have so many twists up their sleeves to make this the most entertaining and well-written film you'll see this year. Every line gets delivered so smoothly, as if it seems like these characters are real people who are living through this story, with Jung Jae-il's classical score, masterfully playing in the background. The cinematography by Hong Kyung-pyo differentiates itself from a more realistic gritty style in the basement apartment, to a more dreamlike perfectly slick style when focusing on our wealthy characters. This point of view makes us look at these two very contrasting groups of people in a different way, to make it even clearer that they don't belong in the same world. Class systems have never looked more down to earth yet perfect before.Though Bong wants you to feel for both parties, the lines will blur at certain points and make your sympathy for anyone bounce back and forth with feverish consequences. Everyone has a sense of selfishness to them when it comes to goals, but being nice doesn't take that much effort. The film focuses on poverty, desperation and what we are willing to do to take what should be ours. Tension between upperclass elegance and underground threat has never been more in your face. Bong (Okja) always loves to blur the lines of genre and he makes sure he hits every step on the staircase, to succeed in his efforts.Parasite is a mite that doesn't discriminate and will get under every moviegoer's skin, no matter what background you come from. The power of this story, is found in the way comedy and drama rub each other in just the right way to spark a bit of thriller, that flips over into pure horror when despair and hate meet each other. This is one infestation you can't get rid off."
655,Harrowing story of the crimes that greed and envy lead to,Humphreywashere,9 February 2020,8,"The movie 'parasite' was harrowing. Greed and envy - thats what it is about. Lying, cheating family traits, inflicting these lies on a kind family who employs them. First the son - lies about his tutoring qualifications and he cheats his way into manipulating the underage daughter he is tutoring. Through further subterfuge, his sister, father and mother all end up working for the family. Unbeknownst to them, the family of lying 'good for nothings' have not only ruined the income prospects of former employees, they go stir crazy and it leads to double murder and countless horrible outcomes not shown.Were they punished enough for the horrible things they did to that kind family who employed them? I believe the filmmaker tried to partly justify their actions based on the inequality of the social divide between one family to the next. If enterprise and cunning got this family into employment, why were these skills not used for employment from lawful means?
The story is skillfully told but it is still a horrible story. There was little justice in the end, so it does make you regret watching it."
656,Hopes and Dreams of a Separated Korea,bugwyrus,10 February 2020,7,"I saw this Movie just one day after it won 4 Oscars:
Best Motion Picture of the Year, Best Achievement in Directing, Best Original Screenplay and Best International Feature Film.
For me it deserves the Oscar for Best International Movie and best Original Screenplay but the best movie of the Year?? CMON...
This is the most overated movie of the Decade, it is a good movie sure, with a good Critic to society...
Showing the struggle of the classes, the Decay of the Rich who lives their plastic lives, and the Poor that must fight back and rise against opression and Tirany.
The problem with the movie, is that it drags in the first 30 minutes, the screentime should be cut to 1h30, 2 hours and 10 minutes is too long...
The Dark Humour presented here is really good, and the Climax of the movie, starting with the Flood is also Great. But some of the dialogues in the movie are lacking.
The directors work here is really good no doubt, but this movie is after all a Independant Movie with a short budget, with few sets, and some good Twists and Turns in the story...
The actors, like almost every Korean movie i've seen, seem authentic and act like real people so they do a very good job.
This Movie is a Good One, almost an 8 but the ending could have been better.
It is far from a masterpiece, so my review score is a 7 out of 10.
P.S: Loved the Critic to Kim Jong Un Regime, the Menace of the Power of a Button is as Powerfull as a Atomic Bomb LOL"
657,Great story! Beautiful film,tintuvjoe,11 February 2020,9,"Great story! Beautiful film
Great acting.Make sure to plan just don't go with the flow.father waits...but not sure how long.Watch it on 4K, Oled."
658,Bit of a Stinker Unfortunately,pglove,12 December 2019,6,"10/10 for acting, cinematography, and plot development1/10 for the second halfThis had the potential to resolve itself epically but instead quickly descended into a messy free fall of nonsense.There are so many intensely gripping Korean films I was sure this would be one of them. And for the first half I was engrossed. But the second half was a huge let down.The acting and production quality are fantastic but the resolution sucks. No spoilers.Watch the original Old Boy again, or The Chaser instead. This film has nothing but disappointment at the end.Boring."
659,Evil and shameless,wywilliamlu,3 April 2020,5,"What does this movie want to tell us?
That the people living at the bottom have a tough life?
That these people are evil and shameless?
That they are continue to be like this as if THEY are the heroes?
I can't believe this movie won 4 Oscars!"
660,A brilliant movie!,Robertt1997,10 February 2020,8,"If you want to see why this move took the Oscars, you should check it and give it a try. Maybe you would like or not. Just watch it!Yes, the metacritic score it's really high for this movie. But yeah, it's a ""must see"" movie. The soundtrack used in this movie is fantastic!The acting was great, from my point of view.If want to see a drama movie with a little few scenes of comedy, a ""dark comedy"" you should try it. Trust me, you won't lose anything."
661,Clever movie that will have you on the edge of your seat!,jnette-96678,31 January 2020,8,Great movie with likable characters. There were a lot of surprises. I was really rooting for them to succeed and couldn't believe how some things turned out. I was somewhat disappointed how it took a turn for the worse in the movie. Definitely shocking.
662,If thrillers were poignant and funny,witster18,5 February 2020,9,"Only mild spoilers.If you are looking for film that skillfully evokes a myriad of emotions from the audience - you've landed-on it! The Koreans have always been great at combining tones/genre's. Parasite Is a deftly handled film about social classes, income disparity(in particular, the psychological impact of it) and karma.Song Kang-Ho gives the standout performance as the father of a poor family who seems perfectly willing to break through any ethical walls to climb their way out of the slums.The meat of the storyline comes when the fathers' son infiltrates a wealthy household as an English tutor. Does the event spark an opportunity for financial freedom or horror for the entire family?This is both a visually and intelligently spectacular vision, played out to near perfection. There is some great symbolism throughout the film - the highs of high society, and the drowning abyss of the lower class. The cinematography is absolutely breathtaking.The film is also as funny as it is thrilling. Hopefully American audiences can take all of the comedy-in as some can literally be lost in translation and dryness.The films' not perfect. I think the poor fathers emotional state could have been fortified a bit with a longer opening set-up; if for no other reason but to drive home the income disparity impact in Korea. Americans may not fully understand the dangers of income disparity and the ""monopolization and manipulation of capitalism(a good system but not necessarily a foolproof one), but perhaps watching this will help. That aspect of the ending is a slightly under-developed, or just perhaps under-appreciated according to your demographic, though the ending as a whole is still well-fashioned and thought-provoking.I've only seen a few of the Best Picture nominees(Fordv8, 19178, Once Upon a Time7.5-8, and Irishman7) , but this is clearly my personal favorite. It wont win. IMO, The Oscars gifted ""The Artist"" the ""foreign acknowledgement Best Picture"" a few years back, so it may be awhile before we see another one. Not that there haven't been many that should have one or at least been nominated. On direction, writing, acting, cinematography, and pure enjoyment - this film checks every box for me.You might like this if you liked: The Host(7), 3-Iron(7.5-8), Nightcrawler(8), Sympathy for Mr. Vengeance(8)"
663,Speechless,chrisw-17947,11 February 2020,10,"I've been hearing great things about this and after it won 4 Oscars including Best Picture I just had to see for myself even though I wasn't 100% sure what it was about. After only 15 minutes of watching I fell in love with this movie. And it got every award it deserved. Parasite has so many genres in this movie but I would have to say this is darkly written in the most creative way possible. It's funny, dramatic, and intense. I can't even think of anything that I didn't like about this movie because I seriously enjoyed every minute of it. 10/10"
664,"Wow, just WOW!",pegah_92,13 February 2020,10,"NEVER seen a movie like this. Wow what a masterpiece! Twist after twist, it had it ALL!!!"
665,Masterpiece..,adi-patil1993,12 February 2020,10,The Korean drama and thriller written & directed by Bong Jong Ho is truly a masterpiece. It is entruguing thriller. And every bit of the screenplay keeps you in the movie till the end... Outstanding work of modern art
666,"Let me in now, let me in now, Bill Gates, Donald Trump, let me in now.",bombersflyup,21 November 2019,7,"Parasite is unique and manically engaging with humour, it doesn't all work though.Another reviewer captured it right, in saying it's lacking of human spirit. Unlike that person I like the film, but I do agree with that. Yeo-jeong Jo's good as the house wife, but the Kim Ki-Jung character's ineffective and her mother unlikable. I don't buy that Kim Ki-taek and Kim Chung-sook could actually fill these job roles at this time, more so the mother. Plus the guy living in the basement and the Morse code, quite stupid and the resolution well it's weak. It's obvious the father will be in the basement, after fleeing the incident and Kim Ki-woo just isn't going to go from the slums to earning enough money to buy this place."
667,"The idea of ""Parasite""",jad-52260,12 December 2019,10,"Parasite is one of the greatest movies I have ever seen in a while, it has a message that you have to look in another perspectives to look in a different ways from the poor families and the rich family, and that doesn't mean they are rich they don't look after for the poor families, but the greediness and the hatred between the two poor families, show us how is the innocent family is.""Spoiler ""
The greedy between two Poor families that caused climax of Antagonism. The poor families because of the greediness and hatred the ""rich family"" and Innocent family has suffered, and caused a death to the rich family."
668,an alright watch,agof,21 November 2023,6,"It's a ""lyrical comedy"" film (which means it's not funny, but you are not supposed to cry over the misfortunes either) with a dramatic story. To put it simply it's a ""slice of scam"" movie.It's a bit weird in looking ""more"" than its subject matter, but it's not pretentious. All the film-students-never-film-workers and the so-called ""movie"" ""critics"" tried their hardest to make you think this is some indie art-house mumblecore drama about gay-cowboys eating pudding, and oscars are always a ""black spot"" for the movies, but in the end this is an alright watch. And it will leave you with nothing, just like all the average films."
669,The critics and award shows are wrong.,philrhodes13,11 January 2020,1,"This movie is rotten garbage. Main characters are unlikeable. The story as it plays out, predictably, is tedious. The characters lives are not interesting to watch. 36 minutes in I wondered if something interesting was going to happen. The movie is not funny and for sure not a thriller. The ending was ridiculous. I wasted my time watching this."
670,A symbolic clash of classes,minister_of_silly_walks,11 October 2019,10,"An intricate depiction of the society classes forming in every modern society around the world. Rightfully asking the question: ""Who is living of whom?"" It is filled to the brim with metaphors examining the cultural clashes between two very different families from vastly different social standings, headlined by a very strong script and fleshed out characters. Furthermore, it has amazing cinematography with some creative editing choices, great sets and the shot selections are flawless."
